,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
312,Johnny Juzang,UTA,"$3,087,519 ","$2,840,518 ","$2,708,000 ","$2,789,215 ",,,"$3,087,519 ",juzanjo01
313,DaRon Holmes,DEN,"$3,065,640 ","$3,218,760 ","$3,372,120 ","$5,547,138 ",,,"$6,284,400 ",holmeda01
314,Josh Richardson,UTA,"$3,051,153 ",,,,,,"$3,051,153 ",richajo01
315,Christian Wood,LAL,"$3,036,040 ",,,,,,"$3,036,040 ",woodch01
316,Kyle Filipowski,UTA,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",,,"$6,000,000 ",filipky01
317,Julian Champagnie,SAS,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,,,"$3,000,000 ",champju02
318,Ajay Mitchell,OKC,"$3,000,000 ","$3,000,000 ",,,,,"$3,000,000 ",mitchaj01
319,Kris Murray,POR,"$2,990,040 ","$3,132,000 ","$5,315,004 ",,,,"$6,122,040 ",murrakr01
320,David Roddy,ATL,"$2,967,212 ",,,,,,"$2,847,240 ",roddyda01
321,David Roddy,PHI,"$2,967,212 ",,,,,,"$119,972 ",roddyda01
322,Walker Kessler,UTA,"$2,965,920 ","$4,878,938 ",,,,,"$7,844,858 ",kesslwa01
323,Shake Milton,LAL,"$2,875,000 ","$3,000,000 ","$3,287,406 ",,,,"$9,162,406 ",miltosh01
324,Olivier-Maxence Prosper,DAL,"$2,870,400 ","$3,007,080 ","$5,259,383 ",,,,"$5,877,480 ",prospol01
325,Alex Len,WAS,"$2,831,348 ",,,,,,"$2,087,519 ",lenal01
326,Alex Len,LAL,"$2,831,348 ",,,,,,"$743,829 ",lenal01
327,Kyshawn George,WAS,"$2,825,520 ","$2,966,760 ","$3,108,000 ","$5,435,892 ",,,"$5,792,280 ",georgky01
328,AJ Johnson,WAS,"$2,795,294 ","$3,090,480 ","$3,237,120 ","$5,493,394 ",,,"$5,885,774 ",johnsaj01
329,Marcus Sasser,DET,"$2,755,080 ","$2,886,720 ","$5,198,983 ",,,,"$5,641,800 ",sassema01
330,Dewayne Dedmon,DET,"$2,748,674 ",,,,,,"$2,748,674 ",dedmode01
331,MarJon Beauchamp,LAC,"$2,733,720 ",,,,,,"$2,733,720 ",beaucma01
332,Trendon Watford,BRK,"$2,726,603 ",,,,,,"$2,726,603 ",watfotr01
333,Ben Sheppard,IND,"$2,663,880 ","$2,790,720 ","$5,031,669 ",,,,"$5,454,600 ",sheppbe01
334,Keita Bates-Diop,MIN,"$2,654,644 ",,,,,,"$2,654,644 ",bateske01
335,Blake Wesley,SAS,"$2,624,280 ","$4,726,328 ",,,,,"$7,350,608 ",weslebl01
336,Dillon Jones,OKC,"$2,622,360 ","$2,753,280 ","$2,884,440 ","$5,200,646 ",,,"$5,375,640 ",jonesdi01
337,Nick Smith Jr.,CHO,"$2,587,200 ","$2,710,680 ","$4,890,067 ",,,,"$5,297,880 ",smithni01
338,Brice Sensabaugh,UTA,"$2,571,480 ","$2,693,760 ","$4,862,237 ",,,,"$5,265,240 ",sensabr01
339,Ty Jerome,CLE,"$2,560,975 ",,,,,,"$2,560,975 ",jeromty01
340,Julian Strawther,DEN,"$2,552,520 ","$2,674,200 ","$4,826,931 ",,,,"$5,226,720 ",strawju01
341,Terrence Shannon Jr.,MIN,"$2,546,640 ","$2,674,080 ","$2,801,640 ","$5,054,159 ",,,"$5,220,720 ",shannte01
342,Wendell Moore Jr.,DET,"$2,537,040 ",,,,,,"$2,537,040 ",moorewe01
343,Kobe Brown,LAC,"$2,533,920 ","$2,654,880 ","$4,792,059 ",,,,"$5,188,800 ",brownko01
344,Ryan Dunn,PHO,"$2,530,800 ","$2,657,760 ","$2,784,240 ","$5,025,553 ",,,"$5,188,560 ",dunnry01
345,Isaiah Collier,UTA,"$2,512,680 ","$2,638,200 ","$2,763,960 ","$4,988,948 ",,,"$5,150,880 ",colliis01
346,Baylor Scheierman,BOS,"$2,494,320 ","$2,619,000 ","$2,744,040 ","$4,952,993 ",,,"$10,191,353 ",scheiba01
347,Nikola Jović,MIA,"$2,464,200 ","$4,445,417 ",,,,,"$6,909,617 ",jovicni01
348,Cam Reddish,LAL,"$2,463,946 ",,,,,,"$2,463,946 ",reddica01
349,Jaxson Hayes,LAL,"$2,463,946 ",,,,,,"$2,463,946 ",hayesja02
350,Patrick Baldwin Jr.,SAS,"$2,448,840 ",,,,,,"$2,448,840 ",baldwpa01
351,DaQuan Jeffries,CHO,"$2,425,404 ","$2,743,776 ","$3,080,918 ",,,,"$2,425,404 ",jeffrda01
352,Peyton Watson,DEN,"$2,413,560 ","$4,356,476 ",,,,,"$6,770,036 ",watsope01
353,Charlie Brown Jr.,CHO,"$2,237,692 ",,,,,,"$2,237,692 ",brownch02
354,Xavier Tillman Sr.,BOS,"$2,237,691 ","$2,546,675 ",,,,,"$4,784,366 ",tillmxa01
355,Anthony Gill,WAS,"$2,237,691 ","$2,546,675 ",,,,,"$2,237,691 ",gillan01
356,James Wiseman,TOR,"$2,237,691 ",,,,,,"$2,237,691 ",wisemja01
357,Garrison Mathews,ATL,"$2,230,253 ",,,,,,"$2,230,253 ",mathega01
358,JaVale McGee,DAL,"$2,208,856 ","$2,208,856 ","$2,208,856 ","$2,208,856 ",,,"$8,835,424 ",mcgeeja01
359,Jeremiah Robinson-Earl,NOP,"$2,196,970 ",,,,,,"$2,196,970 ",robinje02
360,Lindy Waters III,DET,"$2,196,970 ",,,,,,"$2,196,970 ",waterli01
361,Dalano Banton,POR,"$2,196,970 ",,,,,,"$2,019,706 ",bantoda01
362,Sam Merrill,CLE,"$2,164,993 ",,,,,,"$2,164,993 ",merrisa01
363,Duane Washington Jr.,CHO,"$2,162,607 ",,,,,,"$2,162,607 ",washidu02
364,Luka Garza,MIN,"$2,162,606 ","$2,349,578 ",,,,,"$2,162,606 ",garzalu01
365,Keon Johnson,BRK,"$2,162,606 ","$2,349,578 ",,,,,"$2,162,606 ",johnske07
366,Neemias Queta,BOS,"$2,162,606 ","$2,349,578 ","$2,667,944 ",,,,"$2,162,606 ",quetane01
367,Vit Krejci,ATL,"$2,162,606 ","$2,349,578 ","$2,667,944 ","$3,005,085 ",,,"$2,162,606 ",krejcvi01
368,Vince Williams Jr.,MEM,"$2,120,693 ","$2,301,587 ","$2,489,752 ",,,,"$4,422,280 ",willivi01
369,Colby Jones,WAS,"$2,120,693 ","$2,221,677 ","$2,406,205 ",,,,"$2,120,693 ",jonesco02
370,Keon Ellis,SAC,"$2,120,693 ","$2,301,587 ",,,,,"$2,120,693 ",elliske01
371,A.J. Green,MIL,"$2,120,693 ","$2,301,587 ",,,,,"$2,120,693 ",greenaj01
372,Sam Hauser,BOS,"$2,092,344 ","$10,044,644 ","$10,848,215 ","$11,651,785 ","$12,455,356 ",,"$47,092,344 ",hausesa01
373,Jericho Sims,MIL,"$2,092,344 ",,,,,,"$2,092,344 ",simsje01
374,Jay Huff,MEM,"$2,088,033 ","$2,349,578 ","$2,667,944 ","$3,005,085 ",,,"$4,437,611 ",huffja01
375,Tyler Kolek,NYK,"$2,087,519 ","$2,191,897 ","$2,296,271 ","$2,486,995 ",,,"$6,575,687 ",kolekty01
376,Scotty Pippen Jr.,MEM,"$2,087,519 ","$2,270,735 ","$2,461,462 ","$2,789,215 ",,,"$4,358,254 ",pippesc02
377,Mo Bamba,UTA,"$2,087,519 ",,,,,,"$2,087,519 ",bambamo01
378,Garrett Temple,TOR,"$2,087,519 ",,,,,,"$2,087,519 ",templga01
379,Charles Bassey,SAS,"$2,087,519 ","$2,500,000 ",,,,,"$2,087,519 ",bassech01
380,Jordan McLaughlin,SAS,"$2,087,519 ",,,,,,"$2,087,519 ",mclaujo01
381,Sandro Mamukelashvili,SAS,"$2,087,519 ",,,,,,"$2,087,519 ",mamuksa01
382,Doug McDermott,SAC,"$2,087,519 ",,,,,,"$2,087,519 ",mcderdo01
383,Tyus Jones,PHO,"$2,087,519 ",,,,,,"$2,087,519 ",jonesty01
384,Bol Bol,PHO,"$2,087,519 ",,,,,,"$2,087,519 ",bolbo01
385,Monte Morris,PHO,"$2,087,519 ",,,,,,"$2,087,519 ",morrimo01
386,Mason Plumlee,PHO,"$2,087,519 ",,,,,,"$2,087,519 ",plumlma01
387,Damion Lee,PHO,"$2,087,519 ",,,,,,"$2,087,519 ",leeda03
388,Guerschon Yabusele,PHI,"$2,087,519 ",,,,,,"$2,087,519 ",yabusgu01
389,Kyle Lowry,PHI,"$2,087,519 ",,,,,,"$2,087,519 ",lowryky01
390,Daniel Theis,OKC,"$2,087,519 ",,,,,,"$2,087,519 ",theisda01
391,Cameron Payne,NYK,"$2,087,519 ",,,,,,"$2,087,519 ",payneca01
392,Delon Wright,NYK,"$2,087,519 ",,,,,,"$2,087,519 ",wrighde01
393,Joe Ingles,MIN,"$2,087,519 ",,,,,,"$2,087,519 ",inglejo01
394,Gary Trent Jr.,MIL,"$2,087,519 ",,,,,,"$2,087,519 ",trentga02
395,Taurean Prince,MIL,"$2,087,519 ",,,,,,"$2,087,519 ",princta02
396,Alec Burks,MIA,"$2,087,519 ",,,,,,"$2,087,519 ",burksal01
397,Markieff Morris,LAL,"$2,087,519 ",,,,,,"$2,087,519 ",morrima02
398,Patty Mills,LAC,"$2,087,519 ",,,,,,"$2,087,519 ",millspa02
399,James Johnson,IND,"$2,087,519 ",,,,,,"$2,087,519 ",johnsja01
400,Thomas Bryant,IND,"$2,087,519 ",,,,,,"$2,087,519 ",bryanth01
401,DeAndre Jordan,DEN,"$2,087,519 ",,,,,,"$2,087,519 ",jordade01
402,Vlatko Čančar,DEN,"$2,087,519 ",,,,,,"$2,087,519 ",cancavl01
403,Spencer Dinwiddie,DAL,"$2,087,519 ",,,,,,"$2,087,519 ",dinwisp01
404,Tristan Thompson,CLE,"$2,087,519 ",,,,,,"$2,087,519 ",thomptr01
405,Seth Curry,CHO,"$2,087,519 ",,,,,,"$2,087,519 ",curryse01
406,Taj Gibson,CHO,"$2,087,519 ",,,,,,"$2,087,519 ",gibsota01
407,Talen Horton-Tucker,CHI,"$2,087,519 ",,,,,,"$2,087,519 ",hortota01
408,Luke Kornet,BOS,"$2,087,519 ",,,,,,"$2,087,519 ",kornelu01
409,Duop Reath,POR,"$2,048,780 ","$2,221,677 ",,,,,"$2,048,780 ",reathdu01
410,Andrew Nembhard,IND,"$2,019,699 ","$18,102,000 ","$19,550,160 ","$20,998,320 ",,,"$60,670,179 ",nembhan01
411,Jaden Hardy,DAL,"$2,019,699 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",,,"$14,019,699 ",hardyja02
412,Jabari Walker,POR,"$2,019,699 ",,,,,,"$2,019,699 ",walkeja01
413,Caleb Houstan,ORL,"$2,019,699 ","$2,187,699 ",,,,,"$2,019,699 ",houstca01
414,Jaylin Williams,OKC,"$2,019,699 ","$2,187,451 ",,,,,"$2,019,699 ",willija07
415,Josh Minott,MIN,"$2,019,699 ","$2,187,451 ",,,,,"$2,019,699 ",minotjo01
416,Kennedy Chandler,MEM,"$2,019,699 ",,,,,,"$2,019,699 ",chandke01
417,Jose Alvarado,NOP,"$1,988,598 ","$4,500,000 ","$4,500,000 ",,,,"$6,488,598 ",alvarjo01
418,Ricky Council IV,PHI,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$4,113,534 ",councri01
419,GG Jackson II,MEM,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$4,113,534 ",jacksgg01
420,Jalen Pickett,DEN,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$4,113,534 ",pickeja02
421,Hunter Tyson,DEN,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$4,113,534 ",tysonhu01
422,Julian Phillips,CHI,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$4,113,534 ",phillju01
423,Jordan Walsh,BOS,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$2,091,857 ",walshjo01
424,Sidy Cissoko,WAS,"$1,891,857 ",,,,,,"$1,891,857 ",cissosi01
425,Toumani Camara,POR,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",camarto01
426,Rayan Rupert,POR,"$1,891,857 ","$2,221,677 ",,,,,"$1,891,857 ",ruperra01
427,Leonard Miller,MIN,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",millele01
428,Chris Livingston,MIL,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",livinch01
429,Andre Jackson Jr.,MIL,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",jacksan01
430,Gui Santos,GSW,"$1,891,857 ","$2,221,677 ",,,,,"$1,891,857 ",santogu01
431,Trayce Jackson-Davis,GSW,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",jackstr02
432,Craig Porter Jr.,CLE,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",portecr01
433,Jalen Wilson,BRK,"$1,891,857 ","$2,221,677 ",,,,,"$1,891,857 ",wilsoja03
434,Maxwell Lewis,BRK,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",lewisma05
435,Mouhamed Gueye,ATL,"$1,891,857 ","$2,221,677 ","$2,406,205 ",,,,"$1,891,857 ",gueyemo02
436,Jonathan Mogbo,TOR,"$1,862,265 ","$1,955,377 ","$2,296,271 ",,,,"$3,817,642 ",mogbojo01
437,Jamal Shead,TOR,"$1,862,265 ","$1,955,377 ","$2,296,271 ",,,,"$3,817,642 ",sheadja01
438,Johnny Furphy,IND,"$1,850,842 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$6,102,490 ",furphjo01
439,Pacome Dadiet,NYK,"$1,808,080 ","$2,847,600 ","$2,983,680 ","$5,373,608 ",,,"$4,655,680 ",dadiepa01
440,Javonte Green,NOP,"$1,728,488 ",,,,,,"$1,728,488 ",greenja02
441,Jae Crowder,SAC,"$1,655,619 ",,,,,,"$1,655,619 ",crowdja01
442,Karlo Matković,NOP,"$1,407,153 ","$1,955,377 ","$2,296,271 ",,,,"$3,362,530 ",matkoka01
443,Landry Shamet,NYK,"$1,343,690 ",,,,,,"$1,343,690 ",shamela01
444,Eric Bledsoe,POR,"$1,300,000 ",,,,,,"$1,300,000 ",bledser01
445,Bobi Klintman,DET,"$1,257,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$3,212,530 ",klintbo01
446,Orlando Robinson,SAC,"$1,199,723 ",,,,,,"$959,779 ",robinor01
447,Orlando Robinson,TOR,"$1,199,723 ",,,,,,"$239,944 ",robinor01
448,Orlando Robinson,TOR,"$1,199,723 ",,,,,,"$239,944 ",robinor01
449,Tyler Smith,MIL,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$5,408,801 ",smithty02
450,Oso Ighodaro,PHO,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$3,112,530 ",ighodos01
451,Jaylen Wells,MEM,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$3,112,530 ",wellsja01
452,Bronny James,LAL,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$3,112,530 ",jamesbr02
453,Cam Christie,LAC,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$3,112,530 ",chrisca02
454,Adem Bona,PHI,"$1,157,153 ","$1,955,377 ","$2,296,271 ","$2,486,995 ",,,"$1,157,153 ",bonaad01
455,Antonio Reeves,NOP,"$1,157,153 ","$1,955,377 ","$2,296,271 ",,,,"$1,157,153 ",reevean01
456,Pelle Larsson,MIA,"$1,157,153 ","$1,955,377 ","$2,296,271 ",,,,"$1,157,153 ",larsspe01
457,Bruno Fernando,TOR,"$1,115,128 ",,,,,,"$1,115,128 ",fernabr01
458,Ariel Hukporti,NYK,"$1,064,049 ","$1,955,377 ",,,,,"$1,064,049 ",hukpoar01
459,PJ Dozier,MIN,"$1,051,255 ",,,,,,"$1,051,255 ",doziepj01
460,Jamison Battle,TOR,"$1,000,000 ","$1,955,377 ","$2,296,271 ",,,,"$1,000,000 ",battlja01
461,Joshua Primo,LAC,"$1,000,000 ",,,,,,"$1,000,000 ",primojo01
462,Moussa Diabaté,CHO,"$957,763 ","$2,270,735 ","$2,461,462 ",,,,"$957,763 ",diabamo01
463,Jared Butler,PHI,"$745,726 ","$2,349,578 ",,,,,"$745,726 ",butleja02
464,Markelle Fultz,SAC,"$731,831 ",,,,,,"$731,831 ",fultzma01
465,Keshad Johnson,MIA,"$724,883 ","$1,955,377 ",,,,,"$724,883 ",johnske10
466,E.J. Liddell,PHO,"$706,898 ","$706,898 ","$706,898 ",,,,"$2,120,694 ",liddeej01
467,Nik Stauskas,IND,"$702,310 ",,,,,,"$702,310 ",stausni01
468,Matt Ryan,NYK,"$621,439 ",,,,,,"$621,439 ",ryanma01
469,Ryan Rollins,WAS,"$600,000 ",,,,,,"$600,000 ",rolliry01
470,Juwan Morgan,IND,"$576,229 ",,,,,,"$576,229 ",morgaju01
471,Malik Fitts,IND,"$555,216 ",,,,,,"$555,216 ",fittsma01
472,Elfrid Payton,NOP,"$514,753 ",,,,,,"$274,809 ",paytoel01
473,Elfrid Payton,CHO,"$514,753 ",,,,,,"$239,944 ",paytoel01
474,Elfrid Payton,CHO,"$514,753 ",,,,,,"$239,944 ",paytoel01
475,Branden Carlson,OKC,"$496,519 ",,,,,,"$496,519 ",carlsbr01
476,Branden Carlson,OKC,"$496,519 ",,,,,,"$496,519 ",carlsbr01
477,Branden Carlson,OKC,"$496,519 ",,,,,,"$496,519 ",carlsbr01
478,Mamadi Diakite,MEM,"$464,050 ","$464,050 ","$464,050 ",,,,"$1,392,150 ",diakima01
479,Jaylen Nowell,NOP,"$446,743 ",,,,,,"$278,782 ",nowelja01
480,Jaylen Nowell,WAS,"$446,743 ",,,,,,"$167,961 ",nowelja01
481,Quinten Post,GSW,"$438,920 ","$1,955,377 ",,,,,"$438,920 ",postqu01
482,Justin Edwards,PHI,"$425,619 ","$1,955,377 ",,,,,"$425,619 ",edwarju01
483,Ricky Rubio,CLE,"$424,672 ","$424,672 ","$424,672 ",,,,"$1,274,016 ",rubiori01
484,Moses Brown,IND,"$306,660 ",,,,,,"$306,660 ",brownmo01
485,Didi Louzada,POR,"$268,032 ","$268,032 ","$268,032 ","$268,032 ","$268,032 ",,"$1,340,160 ",louzama01
486,AJ Griffin,HOU,"$250,000 ",,,,,,"$250,000 ",griffaj01
487,Bismack Biyombo,SAS,"$143,967 ",,,,,,"$287,934 ",biyombi01
488,Bismack Biyombo,SAS,"$143,967 ",,,,,,"$287,934 ",biyombi01
489,Malevy Leons,OKC,"$126,356 ",,,,,,"$126,356 ",leonsma01
490,Eugene Omoruyi,TOR,"$119,972 ",,,,,,"$119,972 ",omorueu01
491,Daishen Nix,SAC,"$119,972 ",,,,,,"$119,972 ",nixda01
492,Chuma Okeke,PHI,"$119,972 ",,,,,,"$119,972 ",okekech01
493,Jahlil Okafor,IND,"$119,972 ",,,,,,"$119,972 ",okafoja01
494,Javon Freeman-Liberty,TOR,"$100,000 ",,,,,,"$100,000 ",freemja01
495,Erik Stevenson,WAS,"$66,503 ",,,,,,"$66,503 ",steveer01
496,Javante McCoy,DET,"$47,265 ",,,,,,"$47,265 ",mccoyja01
